car_trip_id,transit_trip_id,car_trip_sequence,car_pos_sequence,car_destination_time,transit_trip_sequence,transit_pos_sequence,transit_destination_time,car_arrival_time_transit_stop,integration_distance,shared_distance,destinations_distance
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:46:09.000000,1,2,2010-05-21 21:16:26.000001,2010-05-21 20:36:00.999999,2771.444,2491.094,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:44:41.000001,1,3,2010-05-21 21:14:26.000001,2010-05-21 20:36:46.999999,2892.436,2063.474,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:45:24.000000,1,4,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:45:24.000000,2,1,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:41:48.000001,2,2,2010-05-21 21:11:26.000001,2010-05-21 20:32:45.000000,1690.916,2444.92,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:42:44.999999,2,3,2010-05-21 21:12:26.000001,2010-05-21 20:30:38.000000,1612.36,3941.902,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:40:34.000001,2,4,2010-05-21 21:10:26.000001,2010-05-21 20:26:35.000000,518.876,4272.853,21408.359
6027397_1_4,6045130_2_3,1,1,2010-05-21 20:49:45.000001,2,5,2010-05-21 21:19:26.000001,2010-05-21 20:31:02.000001,1388.347,5157.35,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:46:09.000000,1,2,2010-05-21 21:16:26.000001,2010-05-21 20:36:00.999999,2771.444,2491.094,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:44:41.000001,1,3,2010-05-21 21:14:26.000001,2010-05-21 20:36:46.999999,2892.436,2063.474,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:45:24.000000,1,4,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:45:24.000000,2,1,2010-05-21 21:15:26.000001,2010-05-21 20:36:19.000000,2817.376,2138.534,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:41:48.000001,2,2,2010-05-21 21:11:26.000001,2010-05-21 20:32:45.000000,1690.916,2444.92,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:42:44.999999,2,3,2010-05-21 21:12:26.000001,2010-05-21 20:30:38.000000,1612.36,3941.902,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:40:34.000001,2,4,2010-05-21 21:10:26.000001,2010-05-21 20:26:35.000000,518.876,4272.853,21408.359
6027397_1_4,6109821_2_3,1,1,2010-05-21 20:49:45.000001,2,5,2010-05-21 21:19:26.000001,2010-05-21 20:31:02.000001,1388.347,5157.35,21408.359
6066552_2_1,6035630_1_1,1,1,2010-05-17 08:15:05.999999,2,4,2010-05-17 08:38:12.000001,2010-05-17 08:10:41.999999,2500.4,1573.51,12001.013
6066552_2_1,6035630_1_1,1,1,2010-05-17 08:15:28.999999,2,5,2010-05-17 08:38:12.000001,2010-05-17 08:08:00.000000,1855.344,1749.4,12001.013
6066552_2_1,6035630_1_1,1,1,2010-05-17 08:18:06.000001,2,6,2010-05-17 08:41:12.000001,2010-05-17 08:06:47.000000,1458.812,2915.006,12001.013
6066552_2_1,6035630_1_1,1,1,2010-05-17 08:21:09.999999,2,7,2010-05-17 08:44:12.000001,2010-05-17 08:04:22.000000,1011.056,3159.453,12001.013
6066552_2_1,6035630_1_1,1,1,2010-05-17 08:23:17.000001,2,8,2010-05-17 08:46:12.000001,2010-05-17 08:01:32.000000,319.824,3404.741,12001.013
6026694_1_4,6005798_1_2,1,1,2010-06-02 00:50:03.000001,1,1,2010-06-02 01:13:45.999999,2010-06-02 00:36:38.000000,1828.494,7371.764,20196.526
6026694_1_4,6005798_1_2,1,1,2010-06-02 00:48:53.000001,1,2,2010-06-02 01:11:45.999999,2010-06-02 00:34:13.000000,1212.956,7660.894,20196.526
6026694_1_4,6005798_1_2,1,1,2010-06-02 00:45:54.000000,1,3,2010-06-02 01:08:45.999999,2010-06-02 00:33:00.000001,901.844,7173.52,20196.526
6026694_1_4,6005798_1_2,1,1,2010-06-02 00:45:15.000001,1,4,2010-06-02 01:08:45.999999,2010-06-02 00:32:52.000000,815.553,7259.81,20196.526
6026694_1_4,6005798_1_2,1,1,2010-06-02 00:45:15.000001,2,1,2010-06-02 01:08:45.999999,2010-06-02 00:32:52.000000,815.553,7259.81,20196.526
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:12:05.000000,1,1,2010-06-28 15:28:41.000000,2010-06-28 15:08:44.000000,4927.377,1902.246,12671.707
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:12:08.000000,1,2,2010-06-28 15:28:41.000000,2010-06-28 15:08:35.999999,4897.309,1932.314,12671.707
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:10:12.000000,1,3,2010-06-28 15:26:41.000000,2010-06-28 15:09:52.000000,5509.505,546.03,12671.707
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:10:49.000000,1,4,2010-06-28 15:26:41.000000,2010-06-28 15:10:14.999999,5644.08,411.455,12671.707
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:10:58.000001,1,5,2010-06-28 15:26:41.000000,2010-06-28 15:10:24.000000,5648.294,415.669,12671.707
6087725_1_2,6085368_1_1,1,1,2010-06-28 15:10:58.000001,2,1,2010-06-28 15:26:41.000000,2010-06-28 15:10:24.000000,5648.294,415.669,12671.707
6092993_1_4,6084139_2_2,1,1,2010-10-07 13:54:20.000000,1,1,2010-10-07 13:51:21.000000,2010-10-07 13:48:52.000000,1557.801,1312.797,1328.501
6092993_1_4,6084139_2_2,1,1,2010-10-07 13:54:20.000000,1,2,2010-10-07 13:51:08.000000,2010-10-07 13:48:42.000000,1502.154,1257.15,1328.501
6092993_1_4,6084139_2_2,1,1,2010-10-07 13:56:20.000000,1,3,2010-10-07 13:53:01.000000,2010-10-07 13:49:02.000001,1699.484,848.023,1328.501
6092993_1_4,6124501_1_2,1,1,2010-10-07 13:54:20.000000,1,1,2010-10-07 13:51:21.000000,2010-10-07 13:48:52.000000,1557.801,1312.797,1328.501
6092993_1_4,6124501_1_2,1,1,2010-10-07 13:54:20.000000,1,2,2010-10-07 13:51:08.000000,2010-10-07 13:48:42.000000,1502.154,1257.15,1328.501
6092993_1_4,6124501_1_2,1,1,2010-10-07 13:56:20.000000,1,3,2010-10-07 13:53:01.000000,2010-10-07 13:49:02.000001,1699.484,848.023,1328.501
6026694_1_3,6029786_2_2,1,1,2010-06-02 19:17:15.999999,1,1,2010-06-02 19:31:24.999999,2010-06-02 19:08:55.000000,4652.456,4928.12,8279.876
6026694_1_3,6029786_2_2,1,1,2010-06-02 19:17:15.999999,1,2,2010-06-02 19:31:24.999999,2010-06-02 19:08:39.000000,4651.808,4928.768,8279.876
6026694_1_3,6029786_2_2,1,1,2010-06-02 19:18:18.000001,1,3,2010-06-02 19:32:24.999999,2010-06-02 19:09:13.000000,4776.102,4835.923,8279.876
6026694_1_3,6029786_2_2,1,1,2010-06-02 19:18:18.000001,2,1,2010-06-02 19:32:24.999999,2010-06-02 19:09:13.000000,4776.102,4835.923,8279.876
6026694_1_3,6029786_2_2,1,1,2010-06-02 19:19:24.999999,2,2,2010-06-02 19:33:24.999999,2010-06-02 19:07:38.000000,3075.301,6110.556,8279.876
6033603_5_2,6042186_1_2,1,1,2010-06-01 13:47:18.000002,1,1,2010-06-01 13:28:23.000000,2010-06-01 13:17:04.000001,3632.725,2397.802,15080.042
6033603_5_2,6042186_1_2,1,1,2010-06-01 13:44:18.000002,1,2,2010-06-01 13:25:53.999999,2010-06-01 13:15:57.000000,3854.427,2242.704,15080.042
6033603_5_2,6042186_1_2,1,1,2010-06-01 13:45:18.000002,1,3,2010-06-01 13:26:37.000000,2010-06-01 13:15:29.000000,3721.73,2375.401,15080.042
6033603_5_2,6042186_1_2,1,1,2010-06-01 13:45:18.000002,2,1,2010-06-01 13:26:37.000000,2010-06-01 13:15:29.000000,3721.73,2375.401,15080.042
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:33:24.000000,1,1,2010-06-01 14:04:57.000001,2010-06-01 13:13:16.000000,3081.666,16302.003,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:31:06.999999,1,2,2010-06-01 14:02:57.000001,2010-06-01 13:12:58.000001,3049.843,15961.182,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:30:38.000002,1,3,2010-06-01 14:01:57.000001,2010-06-01 13:11:56.000000,2716.917,16136.872,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:31:39.999999,1,4,2010-06-01 14:02:57.000001,2010-06-01 13:12:44.000000,2851.915,16104.136,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:32:34.000000,1,5,2010-06-01 14:03:57.000001,2010-06-01 13:13:33.000000,2960.357,16047.25,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:34:27.000001,1,6,2010-06-01 14:05:57.000001,2010-06-01 13:14:26.000001,3019.659,16218.533,31087.612
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:37:13.000000,1,7,2010-06-01 14:08:57.000001,2010-06-01 13:16:57.999999,3439.037,16319.392,31087.612
