id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
2350,6085513,1,4,2,1,1027.0,2008-06-21 11:00:00,-73.9459971889,40.8341157573,2008-06-22 12:10:00,-73.9058883606,40.8666657876
2351,6085605,1,1,8,0,,2008-06-21 12:30:00,-73.917934373,40.8832441622,2008-06-21 13:00:00,,
2352,6085605,1,2,8,0,,2008-06-21 15:15:00,,,2008-06-21 15:30:00,,
2353,6085605,1,3,8,0,,2008-06-21 16:00:00,,,2008-06-21 16:10:00,,
2354,6085605,1,4,8,0,,2008-06-21 16:45:00,,,2008-06-21 17:15:00,,
2355,6085605,1,5,8,0,,2008-06-21 17:45:00,,,2008-06-21 18:00:00,-73.917934373,40.8832441622
2356,6085771,1,1,1,1,1132.0,2008-06-21 06:00:00,,,2008-06-21 06:30:00,-73.9450653813,40.7996851815
2357,6085771,1,2,1,1,1123.0,2008-06-21 16:30:00,-73.9450653813,40.7996851815,2008-06-21 18:00:00,,
2358,6085846,1,1,1,3,1068.0,2008-09-06 11:00:00,-73.8273739899,40.8743472554,2008-09-06 12:30:00,-73.9683306425,40.8031557492
2359,6085846,1,2,7,0,,2008-09-06 16:30:00,-73.9683306425,40.8031557492,2008-09-06 17:00:00,-73.8273739899,40.8743472554
2360,6085871,1,1,8,0,,2008-09-13 11:00:00,,,2008-09-13 11:10:00,,
2361,6085871,1,2,8,0,,2008-09-13 12:00:00,,,2008-09-13 12:15:00,,
2362,6085871,1,3,8,0,,2008-09-13 13:00:00,,,2008-09-13 13:20:00,,
2363,6085871,1,4,8,0,,2008-09-13 13:40:00,,,2008-09-13 13:50:00,,
2364,6085871,1,5,8,0,,2008-09-13 14:50:00,,,2008-09-13 17:00:00,-73.9085601116,40.8849388945
2365,6085871,1,6,8,0,,2008-09-13 19:15:00,-73.9085601116,40.8849388945,2008-09-13 19:20:00,,
2366,6085932,1,1,10,0,,2008-06-21 07:45:00,-73.9118389522,40.8849080469,2008-06-21 08:00:00,,
2367,6085932,1,2,10,0,,2008-06-21 10:30:00,,,2008-06-21 10:45:00,-73.9118389522,40.8849080469
