id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
1329,6038513,1,1,7,0,,2008-06-08 06:00:00,-73.8230558254,40.7570608344,2008-06-08 06:30:00,,
1330,6038513,1,2,7,0,,2008-06-08 14:30:00,,,2008-06-08 15:00:00,-73.8230558254,40.7570608344
1331,6038539,1,1,8,0,,2008-05-11 04:00:00,-73.8197829906,40.7447226554,2008-05-11 13:30:00,,
1332,6038539,1,2,8,0,,2008-05-11 15:30:00,,,2008-05-11 16:30:00,-73.8197829906,40.7447226554
1333,6038549,1,1,2,3,1118.0,2008-05-25 11:30:00,-73.9491242154,40.7813492199,2008-05-25 12:55:00,,
1334,6038628,1,1,8,0,,2008-05-18 20:00:00,,,2008-05-18 20:08:00,-73.8199415911,40.7612695811
1335,6038628,1,2,8,0,,2008-05-18 20:09:00,-73.8199415911,40.7612695811,2008-05-18 20:30:00,-73.8057109879,40.7632559479
1336,6038628,1,3,8,0,,2008-05-18 22:00:00,-73.8057109879,40.7632559479,2008-05-18 22:10:00,-73.8199415911,40.7612695811
1337,6038628,1,4,8,0,,2008-05-18 22:10:00,-73.8199415911,40.7612695811,2008-05-18 22:30:00,,
1338,6038692,1,1,10,0,,2008-05-11 09:20:00,,,2008-05-11 09:30:00,-73.8336418609,40.7589783246
1339,6038692,1,2,9,0,,2008-05-11 11:20:00,-73.8336418609,40.7589783246,2008-05-11 12:00:00,,
1340,6038945,1,1,8,0,,2008-05-04 07:00:00,-73.8160521376,40.7947222457,2008-05-04 09:00:00,,
1341,6038945,1,2,8,0,,2008-05-04 09:00:00,,,2008-05-04 11:00:00,-73.8160521376,40.7947222457
1342,6038986,1,1,8,0,,2008-05-18 10:30:00,-73.8514590802,40.7871867826,2008-05-18 10:35:00,-73.8073742762,40.7839079315
1343,6038986,1,2,8,0,,2008-05-18 12:00:00,-73.8073742762,40.7839079315,2008-05-18 12:05:00,-73.8514590802,40.7871867826
1344,6038994,1,1,8,0,,2008-06-01 11:30:00,-73.8190700802,40.7840747967,2008-06-01 11:45:00,-73.8203709696,40.7748158387
1345,6038994,1,2,8,0,,2008-06-01 12:15:00,-73.8203709696,40.7748158387,2008-06-01 12:30:00,-73.8190700802,40.7840747967
1346,6038994,2,1,8,0,,2008-06-01 08:00:00,-73.8190700802,40.7840747967,2008-06-01 09:00:00,,
1347,6038994,2,2,8,0,,2008-06-01 13:00:00,,,2008-06-01 14:00:00,-73.8190700802,40.7840747967
1348,6039003,1,1,8,0,,2008-05-11 12:00:00,-73.8307901763,40.787617837,2008-05-11 12:30:00,-73.7297403959,40.7284775849
1349,6039003,1,2,8,0,,2008-05-11 13:00:00,-73.7297403959,40.7284775849,2008-05-11 15:00:00,-73.7296365886,40.7406158057
1350,6039003,1,3,8,0,,2008-05-11 15:01:00,-73.7296365886,40.7406158057,2008-05-11 15:30:00,-73.8307901763,40.787617837
1351,6039034,1,1,7,0,,2008-05-18 13:00:00,-73.8307901763,40.787617837,2008-05-18 13:30:00,-73.9073130684,40.7787951209
1352,6039034,1,2,7,0,,2008-05-18 15:00:00,-73.9073130684,40.7787951209,2008-05-18 15:30:00,-73.8307901763,40.787617837
1353,6039043,1,1,8,0,,2008-06-01 08:00:00,-73.7982522296,40.779791566,2008-06-01 09:00:00,-73.8000215553,40.7903024028
1354,6039043,1,2,8,0,,2008-06-01 17:00:00,-73.8000215553,40.7903024028,2008-06-01 18:00:00,-73.7982522296,40.779791566
1355,6039066,1,1,10,0,,2008-05-11 15:00:00,-73.7982522296,40.779791566,2008-05-11 15:10:00,-73.7898615397,40.780946754
1356,6039066,1,2,9,0,,2008-05-11 16:30:00,-73.7898615397,40.780946754,2008-05-11 16:50:00,-73.7982522296,40.779791566
1357,6039110,1,1,7,0,,2008-05-11 06:55:00,-73.8203709696,40.7748158387,2008-05-11 07:05:00,-73.825712666,40.7668350361
1358,6039110,1,2,7,0,,2008-05-11 13:45:00,-73.825712666,40.7668350361,2008-05-11 13:55:00,-73.8203709696,40.7748158387
