sampn,hcnty,hhtaz,hhzip,lang,hhnum,hhveh,hmrac,hhinc,hhtel,hstruc,wtrip,strip,ttrips,ttrans,truse,otran,auto,subwy,mbus,EXP1_FINAL_SAT,EXP1_FINAL_SUN,EXP1_FINAL_WKD,EXP1_FINAL_WKNDAY,EXP1_FINAL_WKNTOT,EXP_HH1B_AVGDAY
6090123,"Kings                                             ",1393,"11235",1,1,1,1,4,3,4,,,9,1,1,,,,1,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090131,"Kings                                             ",1162,"11237",2,4,1,3,2,3,1,1,,7,6,1,,,1,1,,,2.5140000000000001e+02,,,1.8370157142857141e+02
6090135,"Kings                                             ",1366,"11219",1,2,0,1,1,1,6,,,0,0,,,,,,,2.1645000000000000e+03,,1.1884000000000001e+03,2.3768499999999999e+03,3.4735234285714284e+02
6090138,"Kings                                             ",1376,"11230",1,2,1,1,5,1,3,,,0,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090139,"Kings                                             ",1280,"11225",1,3,2,2,4,3,4,,,2,2,1,,,1,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090156,"Kings                                             ",1524,"11236",1,1,1,2,2,3,4,,,8,0,,,,,,,2.0643000000000002e+03,,9.4339999999999998e+02,1.8868199999999999e+03,2.7574234285714283e+02
6090158,"Kings                                             ",1295,"11209",1,1,1,5,5,3,4,1,,2,3,1,,,1,1,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090161,"Kings                                             ",1144,"11233",1,4,2,2,2,3,1,1,,3,3,1,,,1,,1.6022000000000000e+03,,,8.7650000000000000e+02,1.7529900000000000e+03,2.5618842857142852e+02
6090165,"Kings                                             ",1350,"11219",1,8,0,1,1,3,3,,,2,0,,,,,,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6090174,"Kings                                             ",1360,"11218",1,4,0,2,4,3,4,,,4,6,1,,,1,1,1.5600999999999999e+03,,,7.5779999999999995e+02,1.5155400000000000e+03,2.2149411428571426e+02
6090206,"Kings                                             ",1323,"11228",1,2,1,1,4,1,2,1,,2,2,1,,,1,,,1.6664000000000001e+03,,9.8529999999999995e+02,1.9706199999999999e+03,2.8798911428571421e+02
6090215,"Kings                                             ",1229,"11215",1,2,0,1,4,3,2,,,2,0,,,,,,2.3380999999999999e+03,,,9.8529999999999995e+02,1.9706199999999999e+03,2.8798911428571421e+02
6090226,"Kings                                             ",1415,"11230",1,2,0,1,5,3,3,,,2,2,1,,,1,,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090233,"Kings                                             ",1400,"11226",2,4,3,3,2,3,6,,,0,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090234,"Kings                                             ",1441,"11223",1,3,1,1,3,3,2,1,,8,2,1,,,1,,,,3.3950000000000000e+02,,,2.4807749999999999e+02
6090236,"Kings                                             ",1421,"11210",1,8,1,1,5,3,3,,,2,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090237,"Kings                                             ",1234,"11218",1,1,0,2,4,1,4,1,,2,3,1,,,1,1,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090250,"Kings                                             ",1093,"11238",1,2,0,2,3,3,4,,,3,0,,,,,,,,2.4550000000000000e+02,,,1.7939035714285714e+02
6090257,"Kings                                             ",1427,"11218",1,7,2,1,3,3,4,,,6,0,,,,,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6090258,"Kings                                             ",1475,"11203",1,2,0,2,3,3,5,,,2,0,,,,,,,1.8225000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090259,"Kings                                             ",1367,"11219",1,3,0,1,2,3,6,,,4,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090261,"Kings                                             ",1217,"11215",1,1,0,1,3,3,4,,,2,2,1,,,,1,1.5600999999999999e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090267,"Kings                                             ",1289,"11203",1,7,0,1,4,3,3,1,,6,4,1,,,1,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6090272,"Kings                                             ",1101,"11205",1,2,1,2,4,3,4,,,2,0,,,,,,,,2.4550000000000000e+02,,,1.7939035714285714e+02
6090313,"Kings                                             ",1217,"11215",1,4,1,1,6,3,1,,,2,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6090334,"Kings                                             ",1198,"11231",1,4,2,2,5,3,4,1,,2,0,,,,,,2.5325999999999999e+03,,,1.0482000000000000e+03,2.0963699999999999e+03,3.0637388571428573e+02
6090362,"Kings                                             ",1176,"11208",1,1,0,2,1,1,4,1,,2,2,1,,,,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6090410,"Kings                                             ",1282,"11225",1,3,0,5,2,1,4,1,,2,2,1,,,1,,,,2.3340000000000001e+02,,,1.7054871428571428e+02
6090430,"Kings                                             ",1422,"11210",1,5,1,1,3,3,1,1,,2,3,1,,,1,1,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6090435,"Kings                                             ",1334,"11214",2,4,0,3,6,1,1,,,4,4,1,,,1,1,,2.1645000000000000e+03,,1.1884000000000001e+03,2.3768499999999999e+03,3.4735234285714284e+02
6090437,"Kings                                             ",1424,"11210",1,6,2,1,2,3,4,1,,4,0,,,,,,,,2.6269999999999999e+02,,,1.9195864285714285e+02
6090441,"Kings                                             ",1242,"11232",2,4,0,3,1,1,4,1,,3,3,1,,,1,1,,,2.7200000000000000e+02,,,1.9875428571428569e+02
6090444,"Kings                                             ",1372,"11204",1,9,1,1,2,1,1,,,2,0,,,,,,,1.7657000000000000e+03,,8.7650000000000000e+02,1.7529900000000000e+03,2.5618842857142852e+02
6090459,"Kings                                             ",1239,"11232",1,3,0,3,2,3,2,,,0,0,,,,,,1.5735000000000000e+03,,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090465,"Kings                                             ",1512,"11210",1,9,4,5,3,3,4,1,,2,2,1,,,1,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6090475,"Kings                                             ",1197,"11207",1,1,0,2,1,1,6,,,2,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6090478,"Kings                                             ",1328,"11214",1,3,2,1,2,1,2,,,0,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090480,"Kings                                             ",1504,"11234",1,2,1,5,5,3,6,,,4,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090486,"Kings                                             ",1274,"11213",1,3,1,2,3,1,3,,,10,0,,,,,,,,2.5459999999999999e+02,,,1.8603985714285713e+02
6090487,"Kings                                             ",1103,"11238",1,3,0,5,7,3,2,,,5,0,,,,,,1.7817000000000000e+03,,,1.0095000000000000e+03,2.0190100000000000e+03,2.9506242857142854e+02
6090488,"Kings                                             ",1414,"11230",1,6,1,1,4,3,3,1,,4,0,,,,,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6090494,"Kings                                             ",1466,"11212",1,2,0,3,1,1,4,,,0,0,,,,,,,1.6060000000000000e+03,,9.5279999999999995e+02,1.9055400000000000e+03,2.7848982857142852e+02
6090509,"Kings                                             ",1376,"11230",1,2,0,1,2,3,6,,,2,0,,,,,,,,3.2850000000000000e+02,,,2.4003964285714284e+02
6090518,"Kings                                             ",1057,"11206",1,9,1,1,1,1,3,,,2,0,,,,,,,1.3333000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090526,"Kings                                             ",1437,"11235",1,4,1,4,3,3,3,,,2,2,1,,,1,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
6090538,"Kings                                             ",1402,"11226",1,4,2,2,3,1,6,,,5,0,,,,,,,,3.6950000000000000e+02,,,2.6999892857142856e+02
6090540,"Kings                                             ",1124,"11213",1,4,1,2,1,1,2,,,4,1,1,,,,1,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090554,"Kings                                             ",1448,"11229",1,1,1,1,1,3,4,1,,5,2,1,,,1,,2.5325999999999999e+03,,,1.1884000000000001e+03,2.3768499999999999e+03,3.4735234285714284e+02
6090560,"Kings                                             ",1440,"11223",1,3,1,4,2,3,4,,,2,0,,,,,,,1.7033000000000000e+03,,7.3210000000000002e+02,1.4641400000000001e+03,2.1398237142857141e+02
6090586,"Kings                                             ",1468,"11212",1,4,2,2,3,3,2,,,2,2,1,,,,1,,2.1268000000000002e+03,,1.1178000000000000e+03,2.2355599999999999e+03,3.2671697142857141e+02
6090589,"Kings                                             ",1181,"11207",1,9,1,2,2,1,5,,,6,0,,,,,,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090601,"Kings                                             ",1515,"11234",1,2,1,2,5,3,4,1,,7,3,1,,,1,1,,,2.2759999999999999e+02,,,1.6631057142857142e+02
6090602,"Kings                                             ",1401,"11226",1,2,0,2,2,3,2,1,,1,1,1,,,1,,,,2.5259999999999999e+02,,,1.8457842857142853e+02
6090607,"Kings                                             ",1122,"11206",2,4,0,3,2,1,4,1,,2,2,1,,,,1,,,2.6269999999999999e+02,,,1.9195864285714285e+02
6090609,"Kings                                             ",1396,"11235",1,4,2,4,4,3,4,1,,7,2,1,,,1,,,,2.5500000000000000e+02,,,1.8633214285714283e+02
