transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6068563_1_4,10:629,6072616_1_2,2,14.824101069,7.75309684554,8.27752495442
6068563_1_4,10:629,6072616_1_2,6,14.824101069,8.36863403939,7.78865442057
6068563_1_4,10:629,6072616_1_2,7,14.824101069,8.7427691948,7.28785260516
6068563_1_4,10:628,6072616_1_2,1,14.824101069,6.42292328556,9.60174267337
6068563_1_4,10:628,6072616_1_2,2,14.824101069,7.75011892502,8.27454703391
6068563_1_4,10:628,6072616_1_2,6,14.824101069,8.30232278887,7.72234317006
6068563_1_4,10:628,6072616_1_2,7,14.824101069,8.73979127428,7.28487468464
6068563_1_4,10:628,6072616_1_2,10,14.824101069,10.7810944286,7.31329464076
6068563_1_4,10:627,6072616_1_2,1,14.824101069,6.4248239041,9.60364329192
6068563_1_4,10:627,6072616_1_2,2,14.824101069,7.75201954357,8.27644765245
6068563_1_4,10:627,6072616_1_2,6,14.824101069,8.30422340742,7.7242437886
6068563_1_4,10:627,6072616_1_2,7,14.824101069,8.74169189283,7.28677530319
6069038_3_1,8:121,6126729_1_2,1,18.1733050518,8.2112538784,28.3277134283
6069038_3_1,8:121,6126729_1_2,3,18.1733050518,8.71622966268,27.822737644
6069399_1_1,3:119,6069041_1_1,1,14.6197945962,13.5415481827,11.7258281736
6069399_1_1,3:119,6069041_1_1,5,14.6197945962,14.0865235915,11.1771906225
6069399_1_1,3:120,6069041_1_1,1,14.6197945962,14.2396595668,12.4239395577
6069399_1_1,3:125,6069041_1_1,1,14.6197945962,11.0302050747,9.21448506563
6069399_1_1,3:125,6069041_1_1,5,14.6197945962,11.886013959,8.97668098987
6069399_1_1,3:125,6069041_1_1,8,14.6197945962,14.1063970272,10.113254779
6069399_1_1,3:125,6069041_1_1,12,14.6197945962,14.5037138279,9.22260464497
6069399_1_1,3:126,6069041_1_1,1,14.6197945962,12.5903011318,10.7745811228
6069399_1_1,3:126,6069041_1_1,5,14.6197945962,13.2031503912,10.2938174221
6069399_1_1,3:126,6069041_1_1,8,14.6197945962,13.9050550273,9.91191277922
6069399_1_1,3:126,6069041_1_1,12,14.6197945962,14.3023718314,9.02126264848
6069399_1_1,3:126,6069041_1_1,13,14.6197945962,14.501234124,7.4824003559
6069504_2_1,3:723,6077968_1_1,1,19.2584549388,18.3200070206,8.80323697768
6069547_3_8,10:121,6028005_1_3,1,15.9377285449,15.5962186983,5.64643213714
6069547_3_8,10:121,6101316_2_3,1,15.9377285449,15.5962186983,5.64643213714
6069547_3_8,10:120,6028005_1_3,1,15.9377285449,15.2487659516,5.29897939048
6069547_3_8,10:120,6101316_2_3,1,15.9377285449,15.2487659516,5.29897939048
6069547_3_8,10:119,6028005_1_3,1,15.9377285449,15.8487013972,5.89891483605
6069547_3_8,10:119,6101316_2_3,1,15.9377285449,15.8487013972,5.89891483605
6069569_1_1,10:723,6077968_1_1,1,19.2584549388,18.3200070206,8.80323697768
6069645_1_2,10:A10,6025391_2_3,1,25.9866396203,25.9133346245,14.8458863362
6069645_1_2,10:A10,6065846_1_3,1,25.9866396203,25.9133346245,14.8458863362
6069645_1_2,10:A11,6025391_2_3,1,25.9866396203,25.0786422999,14.0111940117
6069645_1_2,10:A11,6065846_1_3,1,25.9866396203,25.0786422999,14.0111940117
6069645_1_2,10:A12,6025391_2_3,1,25.9866396203,23.4387214181,12.3712731298
6069645_1_2,10:A12,6025391_2_3,3,25.9866396203,24.6024903629,12.6275188552
6069645_1_2,10:A12,6065846_1_3,1,25.9866396203,23.4387214181,12.3712731298
6069645_1_2,10:A12,6065846_1_3,3,25.9866396203,24.6024903629,12.6275188552
6069645_1_2,10:A14,6025391_2_3,1,25.9866396203,21.191238816,10.1237905278
6069645_1_2,10:A14,6025391_2_3,3,25.9866396203,21.9914544859,10.0164829781
6069645_1_2,10:A14,6025391_2_3,6,25.9866396203,23.6366499216,9.63815734411
6069645_1_2,10:A14,6065846_1_3,1,25.9866396203,21.191238816,10.1237905278
6069645_1_2,10:A14,6065846_1_3,3,25.9866396203,21.9914544859,10.0164829781
6069645_1_2,10:A14,6065846_1_3,6,25.9866396203,23.6366499216,9.63815734411
6069645_1_2,10:A15,6025391_2_3,1,25.9866396203,20.6639866057,9.59653831741
6069645_1_2,10:A15,6025391_2_3,3,25.9866396203,21.4642022788,9.48923077108
6069645_1_2,10:A15,6025391_2_3,6,25.9866396203,23.0693977146,9.07090513709
6069645_1_2,10:A15,6065846_1_3,1,25.9866396203,20.6639866057,9.59653831741
6069645_1_2,10:A15,6065846_1_3,3,25.9866396203,21.4642022788,9.48923077108
6069645_1_2,10:A15,6065846_1_3,6,25.9866396203,23.0693977146,9.07090513709
6069645_1_2,10:A16,6025391_2_3,1,25.9866396203,20.4917805058,9.42433221758
6069645_1_2,10:A16,6025391_2_3,3,25.9866396203,21.0522087823,9.0772372745
6069645_1_2,10:A16,6025391_2_3,6,25.9866396203,22.8116456635,8.81315308599
6069645_1_2,10:A16,6025391_2_3,9,25.9866396203,25.1474351365,8.43859682152
