transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost,detour_factor
6115803_1_2,5:702,6118200_1_3,4,34.623185598602504,30.13616241726338,37.67020277398162,0.5555555539326492
6115803_1_2,5:702,6118200_1_3,5,34.623185598602504,32.76274556862041,36.10368320890709,0.5242566494269622
6115803_1_2,5:702,6118200_1_3,8,34.623185598602504,15.187837177666987,63.07851655055301,0.8059467899781461
6115803_1_2,5:702,6118200_5_3,1,34.623185598602504,29.014846662752177,36.26855809005531,0.5555555539326492
6115803_1_2,5:702,6118200_5_3,4,34.623185598602504,30.13616241726338,37.67020277398162,0.5555555539326492
6115803_1_2,5:702,6118200_5_3,5,34.623185598602504,32.76274556862041,36.10368320890709,0.5242566494269622
6115803_1_2,5:702,6118200_5_3,8,34.623185598602504,15.187837177666987,63.07851655055301,0.8059467899781461
6115803_1_2,5:701,6118200_1_3,1,34.623185598602504,30.157252051876952,33.23249793738139,0.5242566494269622
6115803_1_2,5:701,6118200_1_3,4,34.623185598602504,31.395593169096642,34.59711725193252,0.5242566494269622
6115803_1_2,5:701,6118200_1_3,5,34.623185598602504,32.0743505999986,35.34509007397974,0.5242566494269622
6115803_1_2,5:701,6118200_1_3,8,34.623185598602504,21.814903540900357,53.94446209043714,0.7120500764610848
6115803_1_2,5:701,6118200_5_3,1,34.623185598602504,30.157252051876952,33.23249793738139,0.5242566494269622
6115803_1_2,5:701,6118200_5_3,4,34.623185598602504,31.395593169096642,34.59711725193252,0.5242566494269622
6115803_1_2,5:701,6118200_5_3,5,34.623185598602504,32.0743505999986,35.34509007397974,0.5242566494269622
6115803_1_2,5:701,6118200_5_3,8,34.623185598602504,21.814903540900357,53.94446209043714,0.7120500764610848
6116959_1_1,8:A07,6119073_1_1,5,13.613897473392498,1.4153508944465558,27.579122355240944,0.9511854937919312
6117001_3_1,11:A07,6119073_1_1,5,13.613897473392498,1.4153508944465558,27.579122355240944,0.9511854937919312
6117807_1_1,11:714,6123890_1_1,1,45.63285461244999,23.316211031379375,52.86546800267812,0.6939393916356751
6117807_1_1,11:714,6123890_1_1,2,45.63285461244999,26.501910014333248,54.10297702842175,0.6712121189342288
6117807_1_1,11:714,6123890_1_1,3,45.63285461244999,21.45530827851011,60.87319948796239,0.7393939370385676
6117807_1_1,11:714,6123890_1_1,4,45.63285461244999,21.73310483052923,61.661366439870775,0.7393939370385676
6117807_1_1,11:713,6123890_1_1,1,45.63285461244999,24.95381648418374,50.942583356636256,0.6712121189342288
6117807_1_1,11:713,6123890_1_1,2,45.63285461244999,28.303862336842624,52.21574551934154,0.6484848462327826
6117807_1_1,11:713,6123890_1_1,3,45.63285461244999,23.245581620206668,58.79764695302833,0.7166666643371213
6117807_1_1,11:713,6123890_1_1,4,45.63285461244999,25.43644988780389,57.672742189358615,0.6939393916356751
6117807_1_1,11:713,6123890_1_1,5,45.63285461244999,20.251485944722607,64.88214838471488,0.762121209740014
6117807_1_1,11:712,6123890_1_1,1,45.63285461244999,28.318068636168064,52.24195369197609,0.6484848462327826
6117807_1_1,11:712,6123890_1_1,2,45.63285461244999,28.530947113928434,52.634677776378226,0.6484848462327826
6117807_1_1,11:712,6123890_1_1,3,45.63285461244999,25.222223845432907,57.1870217619246,0.6939393916356751
6117807_1_1,11:712,6123890_1_1,4,45.63285461244999,27.44563712522155,56.029571986063445,0.6712121189342288
6117807_1_1,11:712,6123890_1_1,5,45.63285461244999,20.338553634014218,65.16109772954577,0.762121209740014
6117807_1_1,11:711,6123890_1_1,1,45.63285461244999,26.8776047968105,54.8699483967145,0.6712121189342288
6117807_1_1,11:711,6123890_1_1,2,45.63285461244999,27.076719582183827,55.276436180170336,0.6712121189342288
6117807_1_1,11:711,6123890_1_1,3,45.63285461244999,27.281758511947853,55.69501795412382,0.6712121189342288
6117807_1_1,11:711,6123890_1_1,4,45.63285461244999,27.643193991925067,56.43287931807411,0.6712121189342288
6117807_1_1,11:711,6123890_1_1,5,45.63285461244999,26.184663040899157,59.369185854708334,0.6939393916356751
