transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032847_1_2,3:120,6054183_2_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_1_2,3:120,6054183_2_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_1_2,3:120,6007906_3_3,1,35.0752378174,30.4632053471,10.8417746667
6032847_1_2,3:120,6007906_3_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_1_2,3:120,6007906_3_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_1_2,3:119,6007906_1_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_1_2,3:119,6007906_1_3,4,35.0752378174,29.5783739838,8.33198668068
6032847_1_2,3:119,6007906_1_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_1_2,3:119,6054183_2_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_1_2,3:119,6054183_2_3,4,35.0752378174,29.5783739838,8.33198668068
6032847_1_2,3:119,6054183_2_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_1_2,3:119,6007906_3_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_1_2,3:119,6007906_3_3,4,35.0752378174,29.5783739838,8.33198668068
6032847_1_2,3:119,6007906_3_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_1_2,3:118,6007906_1_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_1_2,3:118,6007906_1_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_1_2,3:118,6007906_1_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_1_2,3:118,6054183_2_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_1_2,3:118,6054183_2_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_1_2,3:118,6054183_2_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_1_2,3:118,6007906_3_3,1,35.0752378174,28.2887365693,8.66730588883
6032847_1_2,3:118,6007906_3_3,4,35.0752378174,29.4583739838,8.21198668068
6032847_1_2,3:118,6007906_3_3,7,35.0752378174,31.0331689543,8.2314900382
6032847_1_2,3:117,6007906_1_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_1_2,3:117,6007906_1_3,4,35.0752378174,29.4150406504,8.16865334735
6032847_1_2,3:117,6007906_1_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_1_2,3:117,6054183_2_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_1_2,3:117,6054183_2_3,4,35.0752378174,29.4150406504,8.16865334735
6032847_1_2,3:117,6054183_2_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_1_2,3:117,6007906_3_3,1,35.0752378174,28.2454032359,8.62397255549
6032847_1_2,3:117,6007906_3_3,4,35.0752378174,29.4150406504,8.16865334735
