transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6030582_1_4,10:725,6081235_1_2,11,2010-06-19 21:44:46.000001,2010-06-19 23:04:34.999998,2010-06-19 22:17:24.000001,4665.902,8015.015,47669.842
6030582_1_4,10:724,6081235_1_2,1,2010-06-19 21:36:10.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,1288.065,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,3,2010-06-19 21:36:32.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,1713.537,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,5,2010-06-19 21:35:30.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,755.754,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,8,2010-06-19 21:39:33.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,1569.955,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,11,2010-06-19 21:43:48.000002,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,4239.045,6919.67,47669.842
6030582_1_4,10:724,6081235_1_2,12,2010-06-19 22:02:40.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:01.999999,14758.421,6919.67,47669.842
6030582_1_4,10:723,6081235_1_2,1,2010-06-19 21:37:03.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,1851.235,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,3,2010-06-19 21:34:22.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,1109.474,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,5,2010-06-19 21:35:15.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,804.191,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,8,2010-06-19 21:37:29.000001,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,1009.857,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,11,2010-06-19 21:41:38.999999,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,3677.465,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,12,2010-06-19 22:00:31.000000,2010-06-19 23:02:34.999998,2010-06-19 22:15:02.000001,14196.841,6525.709,47669.842
6030582_1_4,10:723,6081235_1_2,13,2010-06-19 22:05:19.000001,2010-06-19 23:04:34.999998,2010-06-19 22:17:02.000001,16662.735,6525.709,47669.842
6030582_1_4,3:631,6081235_1_2,1,2010-06-19 21:37:09.000001,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,1926.09,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,3,2010-06-19 21:34:28.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,1184.329,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,5,2010-06-19 21:35:21.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,879.046,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,8,2010-06-19 21:37:35.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,1084.712,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,11,2010-06-19 21:41:45.000001,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,3752.32,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,12,2010-06-19 22:00:36.999999,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,14271.696,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,13,2010-06-19 22:05:25.000000,2010-06-19 23:03:34.999998,2010-06-19 22:16:43.000000,16737.59,6432.621,47669.842
6030582_1_4,3:631,6081235_1_2,14,2010-06-19 22:08:21.000002,2010-06-19 23:06:34.999998,2010-06-19 22:19:43.000000,18180.161,6432.621,47669.842
6030582_1_4,3:629,6081235_1_2,1,2010-06-19 21:37:05.000000,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,2056.529,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,3,2010-06-19 21:35:41.000000,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,1630.375,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,5,2010-06-19 21:40:19.999999,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,2355.75,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,8,2010-06-19 21:43:04.000000,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,2499.197,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,11,2010-06-19 21:46:44.000000,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,4883.096,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,12,2010-06-19 22:03:46.000002,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,14041.733,2808.698,47669.842
6030582_1_4,3:629,6081235_1_2,13,2010-06-19 22:08:33.999999,2010-06-19 23:06:34.999998,2010-06-19 22:19:07.000000,16507.627,2808.698,47669.842
6030582_1_4,3:626,6081235_1_2,1,2010-06-19 21:45:39.000001,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,4128.612,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,3,2010-06-19 21:44:15.000000,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,3702.458,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,5,2010-06-19 21:46:28.000001,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,7398.684,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,8,2010-06-19 21:48:54.999998,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,6957.909,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,11,2010-06-19 21:52:20.999999,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,7078.808,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,12,2010-06-19 22:05:51.000000,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,18183.47,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,13,2010-06-19 22:09:32.000000,2010-06-19 23:01:34.999998,2010-06-19 22:14:07.999999,20646.265,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,14,2010-06-19 22:12:28.000002,2010-06-19 23:02:34.999998,2010-06-19 22:15:07.999999,22088.836,911.526,47669.842
6030582_1_4,3:626,6081235_1_2,15,2010-06-19 22:14:54.000001,2010-06-19 23:04:34.999998,2010-06-19 22:17:07.999999,22158.234,911.526,47669.842
6030582_1_4,3:626,6073513_1_6,1,2010-06-19 22:14:38.000000,2010-06-19 22:36:08.000000,2010-06-19 22:17:07.999999,9287.179,911.526,8963.159
6030582_1_4,3:626,6073513_1_6,3,2010-06-19 22:12:36.000001,2010-06-19 22:34:08.000000,2010-06-19 22:15:07.999999,8666.589,911.526,8963.159
6030582_1_4,3:626,6073513_1_6,5,2010-06-19 22:13:48.999999,2010-06-19 22:35:08.000000,2010-06-19 22:16:07.999999,5923.075,911.526,8963.159
6030582_1_4,3:626,6073513_1_6,6,2010-06-19 22:14:30.000000,2010-06-19 22:36:08.000000,2010-06-19 22:17:07.999999,4835.491,911.526,8963.159
6030582_1_4,3:626,6073513_1_6,7,2010-06-19 22:15:03.999999,2010-06-19 22:37:08.000000,2010-06-19 22:18:07.999999,4272.358,911.526,8963.159
