transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032847_1_2,3:114,6007906_1_3,1,2010-05-27 12:44:48.000000,2010-05-27 13:13:42.000000,2010-05-27 12:51:43.000000,2010-05-27 12:56:22.000000,6686.06,415.636,14562.27,35.0752378174,30.7374156119,8.11598493152
6043132_2_1,10:B08,6031020_1_1,8,2010-05-16 10:09:30.000000,2010-05-16 10:40:09.999999,2010-05-16 10:12:15.000000,2010-05-16 10:12:57.000000,3784.571,847.714,23383.735,47.0263800527,46.4753727961,5.09795945342
6140878_1_3,5:L05,6105314_1_3,1,2010-11-26 19:39:56.000000,2010-11-26 19:49:35.000000,2010-11-26 19:42:56.000000,2010-11-26 19:47:59.000000,2052.778,738.01,1999.656,8.14509603676,7.38729736721,4.28097674627
6103344_2_1,10:A21,6033603_2_1,1,2010-06-01 09:14:43.000001,2010-06-01 09:49:47.000000,2010-06-01 09:32:04.000000,2010-06-01 09:41:18.000000,10194.926,6119.695,8372.651,34.1861149466,28.2147634314,15.2084571201
6035428_2_1,3:629,6068772_1_1,1,2010-06-18 09:12:03.000001,2010-06-18 09:14:34.000000,2010-06-18 09:27:02.999999,2010-06-18 09:35:41.000000,3396.815,567.112,3406.388,11.1569980928,4.58883660156,9.88041339643
6086831_1_1,5:629,6103267_1_1,1,2010-10-06 07:59:30.999999,2010-10-06 08:29:11.000000,2010-10-06 08:22:44.000000,2010-10-06 08:29:47.000000,2620.271,3654.17,1550.535,10.8186833313,10.718754977,8.31011126826
6029412_2_2,10:629,6005839_3_4,6,2010-06-05 21:53:59.000001,2010-06-05 22:17:35.000002,2010-06-05 21:55:53.000001,2010-06-05 22:04:13.000000,19868.091,613.402,17313.892,60.7783391752,47.2248541981,17.7215905636
6091098_1_1,11:R19,6089727_3_1,4,2010-09-15 08:19:05.000000,2010-09-15 08:31:23.000001,2010-09-15 08:21:31.000000,2010-09-15 08:25:57.000000,8993.652,239.482,2852.436,24.0024516468,14.7248345143,8.91483546673
6065814_1_2,11:634,6105261_1_2,3,2010-09-28 08:13:50.999999,2010-09-28 08:36:07.000001,2010-09-28 08:19:39.000000,2010-09-28 08:23:28.999999,5617.313,1355.734,3955.515,20.4339195472,14.5992920209,7.04606148763
6032275_1_2,3:227,6029241_1_1,4,2010-05-25 09:44:58.000000,2010-05-25 10:01:32.999997,2010-05-25 09:46:13.999999,2010-05-25 09:46:18.000000,3014.204,875.244,8250.567,20.8917006506,19.7945960536,4.52098774151
6021908_1_4,10:126,6027174_1_3,9,2010-05-26 13:19:48.000002,2010-05-26 13:44:33.000000,2010-05-26 13:22:09.000000,2010-05-26 13:24:44.000000,15926.543,698.272,5239.303,49.8641410206,42.0470061478,14.4127224017
6056696_2_1,3:F20,6088357_1_1,1,2010-06-20 10:38:13.000000,2010-06-20 11:08:41.999999,2010-06-20 10:43:07.000000,2010-06-20 10:51:08.000000,2467.317,861.437,17434.326,31.5610275241,31.5251171212,4.44215566883
6091060_2_4,10:126,6027174_1_3,9,2010-05-26 13:19:48.000002,2010-05-26 13:44:33.000000,2010-05-26 13:22:09.000000,2010-05-26 13:24:44.000000,15926.543,698.272,5239.303,49.8641410206,42.0470061478,14.4127224017
6105090_3_1,3:629,6068772_1_1,1,2010-06-18 09:12:03.000001,2010-06-18 09:14:34.000000,2010-06-18 09:27:02.999999,2010-06-18 09:35:41.000000,3396.815,567.112,3406.388,11.1569980928,4.58883660156,9.88041339643
6066423_2_1,3:630,6068018_1_1,1,2010-06-21 09:03:38.999999,2010-06-21 09:13:49.000000,2010-06-21 09:08:42.000000,2010-06-21 09:12:46.000000,968.006,1586.964,1462.878,8.04048698748,5.76695524752,3.49448033317
6063392_1_7,10:F16,6065846_1_2,1,2010-06-14 17:11:51.999999,2010-06-14 17:56:59.000002,2010-06-14 17:39:57.000000,2010-06-14 17:46:09.000000,3024.205,8315.012,8401.273,30.9202166203,25.9847609413,12.9339924281
6109534_1_3,8:629,6104034_1_2,1,2010-10-28 16:10:03.000000,2010-10-28 16:30:18.000000,2010-10-28 16:17:15.000001,2010-10-28 16:20:56.000000,3967.453,1635.082,3654.28,16.6325951508,12.4582250141,6.78156596936
6063378_1_1,3:R14,6068018_1_1,1,2010-06-21 09:09:35.000000,2010-06-21 09:18:59.000000,2010-06-21 09:11:46.000000,2010-06-21 09:17:28.000000,2929.752,724.901,2200.254,8.04048698748,7.75655430716,4.33861923658
6031869_1_1,10:631,6068018_1_1,1,2010-06-21 09:02:49.000000,2010-06-21 09:17:55.000000,2010-06-21 09:08:30.000000,2010-06-21 09:14:39.000001,809.317,1298.56,2010.983,8.04048698748,6.59780001011,3.47388371588
6130812_1_2,13:402503,6131742_3_2,1,2010-11-15 13:03:25.000001,2010-11-15 13:08:10.000001,2010-11-15 13:11:55.999999,2010-11-15 13:31:44.000000,1100.576,4014.505,2187.756,9.12669941887,5.51295374173,8.91147407542
6024342_1_5,3:A32,6073386_1_3,1,2010-06-15 18:46:51.999999,2010-06-15 18:48:19.000000,2010-06-15 19:10:00.999999,2010-06-15 19:12:15.999999,8401.591,664.523,7428.156,17.3440711595,9.04177540287,20.5808772076
6106604_1_2,5:D17,6109168_1_2,1,2010-10-08 18:18:27.000001,2010-10-08 18:47:59.999999,2010-10-08 18:28:24.999998,2010-10-08 18:40:11.000000,8246.532,4432.69,16795.869,42.9072476912,37.9392908577,11.8481260667
6034837_3_2,10:126,6028436_2_3,1,2010-06-04 11:38:06.000000,2010-06-04 11:43:57.999999,2010-06-04 11:58:23.999998,2010-06-04 12:07:16.000000,2138.582,1732.613,15697.147,8.56156094094,4.50681038543,28.8911902068
6103756_1_1,13:404139,6029556_2_1,1,2010-10-19 10:35:10.000000,2010-10-19 10:43:12.000001,2010-10-19 10:58:40.000001,2010-10-19 11:09:10.000001,1543.579,1864.092,6860.972,6.61790002552,4.14678492118,14.8048075027
6098773_1_2,4:D17S,6105785_1_4,1,2010-09-24 18:07:23.000001,2010-09-24 18:16:23.000000,2010-09-24 18:34:41.000000,2010-09-24 18:35:08.000000,1906.709,1541.066,9533.37,8.3635778475,5.20126757941,20.0106667051
6029740_1_1,3:125,6104081_3_1,1,2010-05-17 08:42:39.000001,2010-05-17 09:00:59.000000,2010-05-17 08:46:25.000000,2010-05-17 08:49:12.000000,3084.976,960.642,3517.599,14.9463825335,10.1066221484,4.64228712785
6042618_1_3,3:D19,6009764_1_3,1,2010-05-14 14:38:34.000000,2010-05-14 14:54:55.000000,2010-05-14 15:12:30.000000,2010-05-14 15:29:44.000001,1884.149,4029.039,12204.33,8.14266368129,6.4795210926,25.4380629337
6041631_2_4,10:709,6014760_1_4,4,2010-05-16 19:14:17.000001,2010-05-16 19:45:19.000001,2010-05-16 19:15:37.000000,2010-05-16 19:22:14.000000,9898.742,669.955,24320.232,54.0314790323,48.7704354324,9.81218560948
6095427_1_1,8:F18,6095549_1_1,1,2010-09-24 09:08:16.000000,2010-09-24 09:27:56.000000,2010-09-24 09:10:44.000000,2010-09-24 09:14:08.000000,2834.4,735.614,5959.996,14.5192179327,13.5313006478,4.27287896149
6073440_1_2,10:R18,6065545_2_4,1,2010-06-22 20:35:12.000000,2010-06-22 20:39:08.000000,2010-06-22 20:59:43.999999,2010-06-22 21:03:36.000000,1220.088,1249.095,15258.817,7.21827008315,3.66784838737,27.3713143326
