transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6005073_4_2,3:628,6104045_2_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
6005073_4_2,3:628,6105098_2_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
6005073_4_2,3:628,6105098_2_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
6005073_4_2,3:627,6072510_1_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005073_4_2,3:627,6072510_1_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6005073_4_2,3:627,6104045_2_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005073_4_2,3:627,6104045_2_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6005073_4_2,3:627,6105098_2_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005073_4_2,3:627,6105098_2_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6005152_1_2,3:630,6072510_1_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005152_1_2,3:630,6104045_2_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005152_1_2,3:630,6105098_2_3,1,2010-06-18 18:34:06.000000,2010-06-18 18:44:53.000000,2010-06-18 18:56:48.000002,930.5,2824.134,9672.609
6005152_1_2,3:629,6072510_1_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005152_1_2,3:629,6104045_2_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005152_1_2,3:629,6105098_2_3,1,2010-06-18 18:33:11.000000,2010-06-18 18:42:06.000000,2010-06-18 18:54:48.000002,870.81,2053.489,9672.609
6005152_1_2,3:628,6072510_1_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
6005152_1_2,3:628,6072510_1_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
6005152_1_2,3:628,6104045_2_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
6005152_1_2,3:628,6104045_2_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
6005152_1_2,3:628,6105098_2_3,1,2010-06-18 18:36:06.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,1435.387,1336.01,9672.609
6005152_1_2,3:628,6105098_2_3,4,2010-06-18 18:34:53.000000,2010-06-18 18:41:11.000000,2010-06-18 18:53:48.000002,269.2,1336.01,9672.609
