transit_id,taxi_id,detour_factor
6032078_1_4,6005839_3_4,0.4022988505747128
6032078_1_4,6005839_3_4,0.4252873563218392
6032078_1_4,6005839_3_4,0.4022988505747128
6032078_1_4,6005839_3_4,0.3793103448275862
6032078_1_4,6005839_3_4,0.26436781609195403
6032078_1_4,6005839_3_4,0.28735632183908044
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.3333333333333333
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.3793103448275862
6032078_1_4,6005839_3_4,0.26436781609195403
6032078_1_4,6005839_3_4,0.26436781609195403
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.3563218390804598
6032078_1_4,6005839_3_4,0.26436781609195403
6032078_1_4,6005839_3_4,0.26436781609195403
6032078_1_4,6005839_3_4,0.28735632183908044
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.28735632183908044
6032078_1_4,6005839_3_4,0.3103448275862069
6032078_1_4,6005839_3_4,0.19540229885057472
6032078_1_4,6005839_3_4,0.19540229885057472
6032078_1_4,6005839_3_4,0.2413793103448276
6032078_1_4,6005839_3_4,0.2413793103448276
6032078_1_4,6005839_3_4,0.2413793103448276
6037069_1_3,6005839_3_4,0.23984674329501915
6037069_1_3,6005839_3_4,0.23984674329501915
6037069_1_3,6005839_3_4,0.285823754789272
6037069_1_3,6005839_3_4,0.285823754789272
6037069_1_3,6005839_3_4,0.2628352490421456
6037069_1_3,6005839_3_4,0.2628352490421456
6037069_1_3,6005839_3_4,0.3088122605363985
6037069_1_3,6005839_3_4,0.3088122605363985
6037069_1_3,6005839_3_4,0.2168582375478927
6037069_1_3,6005839_3_4,0.2168582375478927
6037069_1_3,6005839_3_4,0.23984674329501915
6037069_1_3,6005839_3_4,0.2628352490421456
6038960_1_3,6069496_1_3,0.963768114027165
6038960_1_3,6069496_1_3,0.9927536212595391
6038960_1_3,6069496_1_3,0.963768114027165
6038960_1_3,6069496_1_3,0.9927536212595391
6038960_1_3,6069496_1_3,0.963768114027165
6038960_1_3,6069496_1_3,0.9347826067947909
6038960_1_3,6069496_1_3,0.9927536212595391
6038960_1_3,6069496_1_3,0.9927536212595391
6038960_1_3,6069496_1_3,0.9347826067947909
6044009_1_3,6042911_1_3,0.28781793880564666
6044009_1_3,6042911_1_3,0.2074966535575591
6044009_1_3,6042911_1_3,0.2074966535575591
6044009_1_3,6042911_1_3,0.07496653155952682
6044009_1_3,6042911_1_3,0.07496653155952682
6044009_1_3,6042911_1_3,0.07496653155952682
6057248_1_1,6076464_2_1,0.8354978395419879
